name,currency,user_id,created_at
PrimaBanka,EUR,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.626Z
Citizens,EUR,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.626Z
